/Users/ursmuff/source/Living-Codex-CSharp/src/CodexBootstrap/Modules/ResonanceJoyModule.cs(21,17): warning CS0414: The field 'ResonanceJoyModule._maxHistorySize' is assigned but its value is never used [/Users/ursmuff/source/Living-Codex-CSharp/src/CodexBootstrap/CodexBootstrap.csproj]
Log4net configured with config file: /Users/ursmuff/source/Living-Codex-CSharp/src/CodexBootstrap/log4net.config
2025-09-11 12:37:36.509 [1] INFO  Program - Loading absolutely core modules...
2025-09-11 12:37:36.515 [1] INFO  ModuleLoader - Loading module: CoreModule
2025-09-11 12:37:36.515 [1] INFO  ModuleLoader - Module node ID: codex.core
2025-09-11 12:37:36.516 [1] INFO  ModuleLoader - Successfully loaded module: Core System Module v0.1.0
2025-09-11 12:37:36.516 [1] INFO  StorageModule - Configuring storage backend: jsonfile at data
2025-09-11 12:37:36.517 [1] INFO  Program - Replacing NodeRegistry with PersistentNodeRegistry
2025-09-11 12:37:36.548 [10] INFO  NodeCacheManager - Initialized cache with 232 Ice nodes and 1146 edges
2025-09-11 12:37:36.548 [10] INFO  PersistentNodeRegistry - PersistentNodeRegistry initialized with cache manager
2025-09-11 12:37:36.548 [1] INFO  Program - Persistent storage initialized
2025-09-11 12:37:36.548 [1] INFO  ModuleLoader - Loading module: StorageModule
2025-09-11 12:37:36.549 [1] INFO  ModuleLoader - Module node ID: codex.storage
2025-09-11 12:37:36.549 [1] INFO  ModuleLoader - Successfully loaded module: Storage Management Module v0.1.0
2025-09-11 12:37:36.551 [1] INFO  ModuleLoader - Loading module: AuthenticationModule
2025-09-11 12:37:36.551 [1] INFO  ModuleLoader - Module node ID: codex.auth
2025-09-11 12:37:36.551 [1] INFO  ModuleLoader - Successfully loaded module: Authentication and Authorization Module v0.1.0
2025-09-11 12:37:36.552 [1] INFO  ModuleLoader - Loading module: PhaseModule
2025-09-11 12:37:36.552 [1] INFO  ModuleLoader - Module node ID: codex.phase
2025-09-11 12:37:36.553 [1] INFO  ModuleLoader - Successfully loaded module: Phase Module v0.1.0
2025-09-11 12:37:36.553 [1] INFO  ModuleLoader - Loading module: DeltaModule
2025-09-11 12:37:36.553 [1] INFO  ModuleLoader - Module node ID: codex.delta
2025-09-11 12:37:36.554 [1] INFO  ModuleLoader - Successfully loaded module: Delta Module v0.1.0
2025-09-11 12:37:36.554 [1] INFO  ModuleLoader - Loading module: SpecModule
2025-09-11 12:37:36.554 [1] INFO  ModuleLoader - Module node ID: codex.spec
2025-09-11 12:37:36.554 [1] INFO  ModuleLoader - Successfully loaded module: Spec Management Module v0.1.0
2025-09-11 12:37:36.554 [1] INFO  ModuleLoader - Loading module: HydrateModule
2025-09-11 12:37:36.554 [1] INFO  ModuleLoader - Module node ID: codex.hydrate
2025-09-11 12:37:36.555 [1] INFO  ModuleLoader - Successfully loaded module: Content Hydration Module v0.1.0
2025-09-11 12:37:36.555 [1] INFO  Program - Loaded 7 core modules
2025-09-11 12:37:36.595 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/permissions from AccessControlModule.CreatePermissionAsync
2025-09-11 12:37:36.599 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/permissions
2025-09-11 12:37:36.599 [1] INFO  ApiRouteDiscovery - Registering route: PUT /access-control/permissions/{permissionId} from AccessControlModule.UpdatePermissionAsync
2025-09-11 12:37:36.600 [1] INFO  ApiRouteDiscovery - Successfully registered route: PUT /access-control/permissions/{permissionId}
2025-09-11 12:37:36.600 [1] INFO  ApiRouteDiscovery - Registering route: DELETE /access-control/permissions/{permissionId} from AccessControlModule.DeletePermissionAsync
2025-09-11 12:37:36.601 [1] INFO  ApiRouteDiscovery - Successfully registered route: DELETE /access-control/permissions/{permissionId}
2025-09-11 12:37:36.601 [1] INFO  ApiRouteDiscovery - Registering route: GET /access-control/permissions/{permissionId} from AccessControlModule.GetPermissionAsync
2025-09-11 12:37:36.603 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /access-control/permissions/{permissionId}
2025-09-11 12:37:36.603 [1] INFO  ApiRouteDiscovery - Registering route: GET /access-control/permissions from AccessControlModule.ListPermissionsAsync
2025-09-11 12:37:36.604 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /access-control/permissions
2025-09-11 12:37:36.604 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/roles from AccessControlModule.CreateRoleAsync
2025-09-11 12:37:36.605 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/roles
2025-09-11 12:37:36.605 [1] INFO  ApiRouteDiscovery - Registering route: PUT /access-control/roles/{roleId} from AccessControlModule.UpdateRoleAsync
2025-09-11 12:37:36.606 [1] INFO  ApiRouteDiscovery - Successfully registered route: PUT /access-control/roles/{roleId}
2025-09-11 12:37:36.606 [1] INFO  ApiRouteDiscovery - Registering route: DELETE /access-control/roles/{roleId} from AccessControlModule.DeleteRoleAsync
2025-09-11 12:37:36.607 [1] INFO  ApiRouteDiscovery - Successfully registered route: DELETE /access-control/roles/{roleId}
2025-09-11 12:37:36.607 [1] INFO  ApiRouteDiscovery - Registering route: GET /access-control/roles/{roleId} from AccessControlModule.GetRoleAsync
2025-09-11 12:37:36.608 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /access-control/roles/{roleId}
2025-09-11 12:37:36.608 [1] INFO  ApiRouteDiscovery - Registering route: GET /access-control/roles from AccessControlModule.ListRolesAsync
2025-09-11 12:37:36.609 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /access-control/roles
2025-09-11 12:37:36.609 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/users/{userId}/roles from AccessControlModule.AssignRoleAsync
2025-09-11 12:37:36.610 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/users/{userId}/roles
2025-09-11 12:37:36.610 [1] INFO  ApiRouteDiscovery - Registering route: DELETE /access-control/users/{userId}/roles/{roleId} from AccessControlModule.RemoveRoleAsync
2025-09-11 12:37:36.610 [1] INFO  ApiRouteDiscovery - Successfully registered route: DELETE /access-control/users/{userId}/roles/{roleId}
2025-09-11 12:37:36.610 [1] INFO  ApiRouteDiscovery - Registering route: GET /access-control/users/{userId}/roles from AccessControlModule.GetUserRolesAsync
2025-09-11 12:37:36.611 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /access-control/users/{userId}/roles
2025-09-11 12:37:36.612 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/roles/{roleId}/permissions from AccessControlModule.AssignPermissionAsync
2025-09-11 12:37:36.613 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/roles/{roleId}/permissions
2025-09-11 12:37:36.613 [1] INFO  ApiRouteDiscovery - Registering route: DELETE /access-control/roles/{roleId}/permissions/{permissionId} from AccessControlModule.RemovePermissionAsync
2025-09-11 12:37:36.614 [1] INFO  ApiRouteDiscovery - Successfully registered route: DELETE /access-control/roles/{roleId}/permissions/{permissionId}
2025-09-11 12:37:36.614 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/check-permission from AccessControlModule.CheckPermissionAsync
2025-09-11 12:37:36.615 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/check-permission
2025-09-11 12:37:36.615 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/check-access from AccessControlModule.CheckAccessAsync
2025-09-11 12:37:36.616 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/check-access
2025-09-11 12:37:36.616 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/policies from AccessControlModule.CreatePolicyAsync
2025-09-11 12:37:36.617 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/policies
2025-09-11 12:37:36.617 [1] INFO  ApiRouteDiscovery - Registering route: POST /access-control/evaluate-policy from AccessControlModule.EvaluatePolicyAsync
2025-09-11 12:37:36.618 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /access-control/evaluate-policy
2025-09-11 12:37:36.618 [1] INFO  ApiRouteDiscovery - Registering route: POST /adapters/register from AdapterModule.RegisterAdapter
2025-09-11 12:37:36.619 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /adapters/register
2025-09-11 12:37:36.619 [1] INFO  ApiRouteDiscovery - Registering route: GET /adapters/list from AdapterModule.ListAdapters
2025-09-11 12:37:36.620 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /adapters/list
2025-09-11 12:37:36.620 [1] INFO  ApiRouteDiscovery - Registering route: POST /auth/login from AuthenticationModule.LoginAsync
2025-09-11 12:37:36.621 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /auth/login
2025-09-11 12:37:36.621 [1] INFO  ApiRouteDiscovery - Registering route: POST /auth/register from AuthenticationModule.RegisterAsync
2025-09-11 12:37:36.622 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /auth/register
2025-09-11 12:37:36.622 [1] INFO  ApiRouteDiscovery - Registering route: POST /auth/refresh from AuthenticationModule.RefreshTokenAsync
2025-09-11 12:37:36.623 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /auth/refresh
2025-09-11 12:37:36.623 [1] INFO  ApiRouteDiscovery - Registering route: POST /auth/logout from AuthenticationModule.LogoutAsync
2025-09-11 12:37:36.623 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /auth/logout
2025-09-11 12:37:36.623 [1] INFO  ApiRouteDiscovery - Registering route: GET /auth/profile from AuthenticationModule.GetProfileAsync
2025-09-11 12:37:36.624 [1] INFO  ApiRouteDiscovery - Successfully registered route: GET /auth/profile
2025-09-11 12:37:36.624 [1] INFO  ApiRouteDiscovery - Registering route: POST /auth/change-password from AuthenticationModule.ChangePasswordAsync
2025-09-11 12:37:36.625 [1] INFO  ApiRouteDiscovery - Successfully registered route: POST /auth/change-password
